Mountain Valley Cottages,1990-2006,landscape,NLW,nlw_nlw_kwf00065_large.jpeg
Ponies on Sea Cliff,1990-2006,landscape,NLW,nlw_nlw_kwf00077_large.jpeg
Snowdon range,1990-2006,landscape,NLW,nlw_nlw_kwf00141_large.jpeg
Storm Approaching,1990-2006,landscape,NLW,nlw_nlw_kwf00093_large.jpeg
"Storm Approaching, Eryri",1990-2006,landscape,NLW,nlw_nlw_kwf00047_large.jpeg
The Way to the Cottages,1990-2006,landscape,NLW,nlw_nlw_kwf00062_large.jpeg
"Conservatory, Highgate",1944,landscape,NLW,nlw_nlw_gcf05125_large.jpeg
Euros Hughes Irrigating his Fields,1969,landscape,NLW,nlw_nlw_gcf02713_large.jpeg
"Henry Roberts, Bryngwyn, Patagonia",1969,landscape,NLW,nlw_nlw_gcf06830_624x544.jpeg
Man and horse in the desert,1969,landscape,NLW,nlw_nlw_gcf02740_large.jpeg
Farmers on the Moelwyns: Llwybr Iddew Mawr,1970,landscape,NLW,nlw_nlw_gcf00223_large.jpeg
"Gardeners at Work, near Church",1940-1950,landscape,NLW,nlw_nlw_kwf00392_large.jpeg
Farmer and Dog Climbing a Rocky path,1950-1960,landscape,NLW,nlw_nlw_kwf00088_large.jpeg
Farmer and Dog in the Mountains,1950-1970,landscape,NLW,nlw_nlw_kwf00068_large.jpeg
Three Farmers on a Mountain Path,1960-1970,landscape,NLW,nlw_nlw_kwf00106_large.jpeg
Hamlet on the Horizon,1970-1980,landscape,NLW,nlw_nlw_kwf00446_large.jpeg
Farmer in Eryri,1970-1990,landscape,NLW,nlw_nlw_kwf00080_large.jpeg
The Gathering (Farmers on Glyder Fach),1980-1990,landscape,NLW,nlw_nlw_gcf02358_large.jpeg
Farmer on the Mountain,1984-1990,landscape,NLW,nlw_nlw_kwf00096_large.jpeg
Farmer with Following Dog,1990-2006,landscape,NLW,nlw_nlw_kwf00085_large.jpeg
Farmer Amongst the Rocks,1990-2006,landscape,NLW,nlw_nlw_kwf00061_large.jpeg
An Officer of the Royal Welch Fusiliers,1945,portrait,NLW,nlw_nlw_kwf00117_large.jpeg
John Dafydd Evans,1945,portrait,NLW,nlw_nlw_gcf06929_large.jpeg
Young Woman Looking Forward,1950,portrait,NLW,nlw_nlw_kwf00108_large.jpeg
Self Portrait,1953,portrait,NLW,nlw_nlw_gcf10359_large.jpeg
Fred Ulhman,1960,portrait,NLW,nlw_nlw_gcf05257_large.jpeg
"Marie Levy, nee Wooler",1960,portrait,NLW,nlw_nlw_gcf05212_large.jpeg
Charles Evans,1967,portrait,NLW,nlw_nlw_gcf05024_large.jpeg
Jack Raymond Jones,1969,portrait,NLW,nlw_nlw_gcf04445_large.jpeg
Ann Griffiths,1970,portrait,NLW,nlw_nlw_gcf02540_large.jpeg
Dr Alun Oldfield Davies,1970,portrait,NLW,nlw_nlw_gcf05254_large.jpeg
Sir Thomas Parry,1970,portrait,NLW,nlw_nlw_gcf01567_large.jpeg
William Moelwyn Merchant,1970,portrait,NLW,nlw_nlw_gcf05062_large.jpeg
Miss Parry,1979,portrait,NLW,nlw_nlw_gcf03772_large.jpeg
R.S. Thomas,1980,portrait,NLW,nlw_nlw_gcf05222_large.jpeg
Woman with a Duster,1990,portrait,NLW,nlw_nlw_kwf00104_large.jpeg
Self Portrait,1997,portrait,NLW,nlw_nlw_gcf00113_large.jpeg
Golfer Resting,1940-1950,portrait,NLW,nlw_nlw_kwf00331_large.jpeg
Self Portrait,1940-1950,portrait,NLW,nlw_nlw_kwf00396_large.jpeg
The Cleric,1940-1950,portrait,NLW,nlw_nlw_kwf00053_large.jpeg
Nun at a Crucifix,1950-1960,portrait,NLW,nlw_nlw_kwf00071_large.jpeg
Michelle,1950-1970,portrait,NLW,nlw_nlw_kwf00028_large.jpeg
Portrait of a Young Woman Looking Left,1950-1970,portrait,NLW,nlw_nlw_kwf00001_large.jpeg
"Young Girl with a Black Dress, Standing",1950-1970,portrait,NLW,nlw_nlw_kwf00040_large.jpeg
Dr Llywellyn Wyn Griffith,1960-1979,portrait,NLW,nlw_nlw_gcf06814_large.jpeg
Keith Andrew,1980-1990,portrait,NLW,nlw_nlw_gcf02695_large.jpeg
Girl Guide 1,1990-2006,portrait,NLW,nlw_nlw_kwf00116_large.jpeg
Girl Guide 2,1990-2006,portrait,NLW,nlw_nlw_kwf00136_large.jpeg
Hugh Rowlands,1990-2006,portrait,NLW,nlw_nlw_kwf00107_large.jpeg
Henry Williams o Hafotty,s.d.,portrait,NLW,nlw_nlw_gcf02784_large.jpeg
"Storm, Trearddur",1996,seascape,NLW,nlw_nlw_gcf06857_large.jpeg
"Sunset, Anglesey",2004,seascape,NLW,nlw_nlw_gcf08104_large.jpeg
Dark Hills Across the Water,1950-1970,seascape,NLW,nlw_nlw_kwf00151_large.jpeg
Stormy Sky and Distant Mountain,1960-1980,seascape,NLW,nlw_nlw_kwf00321_large.jpeg
Coastal Sunset,1970-1990,seascape,NLW,nlw_nlw_kwf00010_large.jpeg
Pwllderi,1970-1990,seascape,NLW,nlw_nlw_kwf00086_large.jpeg
Winter Coast,1970-1990,seascape,NLW,nlw_nlw_kwf00038_large.jpeg
Across the Water,1990-2006,seascape,NLW,nlw_nlw_kwf00041_large.jpeg
