"Williams, Kyffin",Hamlet in the Trees,1980,landscape,NLW,unknown,unknown,unknown,61.2,77,4712.4,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00327_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/hamlet-in-the-trees-120530,nlw_nlw_kwf00327_large.jpg,
"Williams, Kyffin",Welsh Blacks Grazing on Snowdonia,1980,landscape,NLW,Snowdonia,,,60.8,50.8,3088.64,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00078_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/welsh-blacks-grazing-on-snowdonia-120554,nlw_nlw_kwf00078_large.jpg,
"Williams, Kyffin",Carreg Cennen no.1,1982,landscape,NLW,Carreg Cennen,,,75.5,75.5,5700.25,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02719_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/carreg-cennen-no-1-120991,nlw_nlw_gcf02719_large.jpg,
"Williams, Kyffin","Above Carneddi, no.2",1985,landscape,NLW,Carneddi,,,75,50,3750,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02373_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/above-carneddi-no-2-120767,nlw_nlw_gcf02373_large.jpg,
"Williams, Kyffin","Cottages, Carmel no.1",1985,landscape,NLW,Carmel,,,117,49.7,5814.9,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02376_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/cottages-carmel-no-1-121054,nlw_nlw_gcf02376_large.jpg,
"Williams, Kyffin",Dolwyddelan Castle,1985,landscape,NLW,Dolwyddelan,,,75,75,5625,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02370_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/dolwyddelan-castle-121053,nlw_nlw_gcf02370_large.jpg,
"Williams, Kyffin","Porth Swtan, Sir Fon",1985,landscape,NLW,Porth Swtan,,,89.8,49.8,4472.04,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02284_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/porth-swtan-sir-fon-120938,nlw_nlw_gcf02284_large.jpg,
"Williams, Kyffin",Mountain Landscape,1987,landscape,NLW,unknown,unknown,unknown,12.5,12,150,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf02331_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/mountain-landscape-121520,nlw_nlw_gcf02331_large.jpg,
"Williams, Kyffin","Llyn-y-Cau, Cader Idris",1990,landscape,NLW,"Llyn-y-cau, Cader Idris",,,,,0,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf05061_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/llyn-y-cau-cader-idris-121258,nlw_nlw_gcf05061_large.jpg,
"Williams, Kyffin",Llyn Conwy,1996,landscape,NLW,Llyn Conwy,,,131,54,7074,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf00135_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/llyn-conwy-119873,nlw_nlw_gcf00135_large.jpg,
"Williams, Kyffin",Pengwyryd,1999,landscape,NLW,Pen-y-Gwryd,,,120,120,14400,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf06690_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/pengwyryd-119963,nlw_nlw_gcf06690_large.jpg,
"Williams, Kyffin",Bryn Cader Faner,2000,landscape,NLW,Bryn cader Faner,,,120.3,120.3,14472.09,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf00244_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/bryn-cader-faner-120019,nlw_nlw_gcf00244_large.jpg,
"Williams, Kyffin",Chapel at Dinorwic,2000,landscape,NLW,Dinorwig,,,110,110,12100,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_gcf10056_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/chapel-at-dinorwic-119795,nlw_nlw_gcf10056_large.jpg,
"Williams, Kyffin",Cattle in the Field,1940-1950,landscape,NLW,unknown,unknown,unknown,30.5,40.6,1238.3,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00333_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/cattle-in-the-field-120499,nlw_nlw_kwf00333_large.jpg,
"Williams, Kyffin",Cloudy Day in Snowdonia,1940-1950,landscape,NLW,Snowdonia,,,30.9,22.9,707.61,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00389_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/cloudy-day-in-snowdonia-120578,nlw_nlw_kwf00389_large.jpg,
"Williams, Kyffin",Farmer and Cottages,1940-1950,landscape,NLW,unknown,unknown,unknown,50.7,61,3092.7,http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/nlw/large/nlw_nlw_kwf00042_large.jpg,http://www.bbc.co.uk/arts/yourpaintings/paintings/farmer-and-cottages-120471,nlw_nlw_kwf00042_large.jpg,
